id,outbreak_data_id,covidence_id,pathogen,outbreak_duration_months,ongoing,outbreak_country,outbreak_location,outbreak_location_type,outbreak_source,pre_outbreak,cases_confirmed,cases_suspected,cases_unspecified,cases_asymptomatic,asymptomatic_transmission,cases_severe,deaths,population_size,type_cases_sex_disagg,male_cases,prop_male_cases,female_cases,prop_female_cases,outbreak_notes,cases_mode_detection,outbreak_probable,outbreak_start_day,outbreak_start_month,outbreak_start_year,outbreak_end_day,outbreak_end_month,outbreak_end_year
e8fcc21cf8f87d3017a94a1c7bfd01d2,958d0a8407c51b56a3502fde05a96a36,2979,Nipah virus,NA,FALSE,India,Kozhikode,District,Wild animal,Unspecified,18,NA,NA,NA,FALSE,NA,21,NA,Confirmed,15,0.65,8,NA,Cases confirmed by RT-PCT. Number of male and females cases counted from a table.,Confirmed + Suspected,5,2,5,2018,31,5,2018
f39c11cd4e35ece0db19c362ae73d73c,acc4d12bcd517c9fb0cf031e890f0ddf,2983,Nipah virus,NA,FALSE,India,Kozhikode,district,Unknown,Unspecified,6,NA,NA,NA,FALSE,NA,2,NA,Confirmed,6,100,0,0,Outbreak start date is the date of symptom onset of the index case and the end date is the release date of the cases who survived.,Molecular (PCR etc),NA,25,8,2023,29,9,2023
2644e438e79a4e2c5e6b1b6ae262dd20,8938154662a8b23aa7b31c31969d5328,2984,Nipah virus,NA,FALSE,India,Kozhikode,District,Unknown,Unspecified,1,NA,NA,NA,FALSE,NA,1,NA,NA,NA,NA,NA,NA,"Date reported is when the Ministry of Health and Family Welfare in India declared the outbreak - the index case developed a fever on 29 August 2021. Outbreak source is possibly due to the consumption of an infected fruit, from the article: 'father of the index case regarding the consumption of fruit from the orchard near the house.'. However, the authors could not find viral RNA in the sample of bats they tests and hence could not directly link the source of infection to bats.Tested 19 symptomatic  and 40 asymptomatic primary contacts, 5 asymptomatic secondary contacts, and 61  non-epidemiologically linked suspected cases from neighbouring districts. All were negative.",Confirmed + Suspected,NA,4,9,2021,NA,NA,NA
8c9d3d9a1d4f5dff0c082e94510b34a9,3a0e5a6e7a5deeb78d67d07e56da0bca,3065,Nipah virus,1,FALSE,India,Kozhikode; Kerala,NA,"Wild animal,Other",NA,18,147,NA,NA,FALSE,NA,16,NA,NA,NA,0.611,NA,NA,NA,NA,NA,NA,5,2018,NA,5,2018
d04a3f3b4343b803c06b4d35e26d157c,e2c149f0b9a94100ada4c477630c7a63,4047,Nipah virus,NA,FALSE,Philippines,Senator Ninoy Aquino,district,Domestic animal,Unspecified,17,NA,NA,NA,FALSE,NA,9,NA,NA,16,NA,1,NA,NA,Confirmed + Suspected,NA,3,3,2014,24,5,2014
85ade3c51d8ae49358b20ac78f017980,33d29567b1b47b9e532ee5c95b8796d6,4358,Nipah virus,NA,FALSE,India,Kerala,NA,Unknown,NA,18,NA,NA,NA,FALSE,NA,20,NA,Unspecified,NA,NA,NA,NA,Deaths inferred: 16 + 4. Outbreak information only included in the abstract.,Molecular (PCR etc),4,NA,5,2018,NA,NA,NA
d6f930c3f2b93e27c5f60daed8b0eca5,d7f55f1b72f8b87eb5d1d7d7f0bcb563,36,Nipah virus,NA,FALSE,Singapore,NA,NA,Domestic animal,Unspecified,11,24,NA,NA,FALSE,NA,1,NA,Confirmed,11,NA,NA,NA,"Abattoir workers; 35 with symptoms; 11 confirmed with serology, all confirmed serology were men.",Symptoms,NA,16,3,1999,NA,NA,1999
6cd50677bcfb78f63c2b3aa514b450da,0f6650c0899eace198cca799a0d25961,103,Nipah virus,NA,FALSE,Bangladesh,Tangail,district,Date palm sap,Unspecified,12,124,NA,NA,FALSE,NA,11,NA,Suspected,7,0.58,5,0.42,NA,Symptoms,NA,15,12,2004,31,1,2005
ce8c145f1be8e872e48e64c98f405ba2,8e66fe7d2352b8c3b13a183e058b4120,167,Nipah virus,1,FALSE,Bangladesh,Meherpur,district,Unknown,Unspecified,4,9,NA,NA,FALSE,NA,9,604,Other,6,0.46,NA,NA,NA,Symptoms,NA,20,4,2001,20,5,2001
ce8c145f1be8e872e48e64c98f405ba2,1aca05500e9fb0411cd7b747ba77af25,167,Nipah virus,NA,FALSE,Bangladesh,Naogaon,district,Unknown,Unspecified,4,8,NA,NA,FALSE,NA,8,NA,Other,8,0.67,NA,NA,NA,Symptoms,NA,11,1,2003,28,1,2003
aa64e0ed203dcdb6eba4cde3eb41495e,97e77c5f4d5539a342c6fc2a84db06c8,184,Nipah virus,NA,FALSE,India,Siliguri; West Bengal,town,Unknown,NA,NA,66,NA,NA,FALSE,NA,45,500000,Suspected,39,NA,27,NA,NA,Symptoms,NA,31,1,2001,23,2,2001
32164406585ad80a8c82cbdbf44ae056,a15fe82a017ba79a2b7fb74c97df4e3a,192,Nipah virus,NA,FALSE,Bangladesh,Rajbari,district,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,outbreak probably reported elsewhere,NA,NA,NA,1,2004,NA,2,2004
