id,covidence_id,pathogen,first_author_first_name,first_author_surname,article_title,doi,journal,year_publication,volume,issue,page_first,page_last,paper_copy_only,notes,qa_m1,qa_m2,qa_a3,qa_a4,qa_d5,qa_d6,qa_d7,qa_notes,double_extracted,article_label
2e5358679e004f88bc55cfc68b1d8408,2768,Nipah virus,Saumen,Barua,Global dynamics of a compartmental model for the spread of Nipah virus,10.1016/j.heliyon.2023.e19682,Heliyon,2023,9,NA,NA,NA,FALSE,NA,Yes,No,Yes,No,NA,NA,NA,NA,0,Barua 2023
1bd30e1a46f30f6e760bf305ddbc705b,2800,Nipah virus,N V,Bradbury,Exact calculation of end-of-outbreak probabilities using contact tracing data,10.1098/rsif.2023.0374,Journal Of The Royal Society Interface,2023,20,209,NA,NA,FALSE,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,0,Bradbury 2023
e85a16545974c8a3e273836332c08d35,2803,Nipah virus,M Z,Rahman,Genetic diversity of Nipah virus in Bangladesh,10.1016/j.ijid.2020.10.041,International Journal Of Infectious Diseases,2021,102,NA,144,151,FALSE,NA,No,Yes,Yes,No,No,No,No,NA,0,Rahman 2021
407109776e512ef27d1be9e2fb3684f7,2825,Nipah virus,Kyu,Lee,Changing contact patterns over disease progression: Nipah virus as a case study,10.1093/infdis/jiaa091,Journal Of Infectious Diseases,2020,222,3,438,422,FALSE,NA,Yes,Yes,Yes,No,Yes,No,No,NA,0,Lee 2020
11eebaa28aa61882c661a144053ce87c,2844,Nipah virus,Julien,Cappelle,"Nipah virus circulation at human-bat interfaces, Cambodia",10.2471/BLT.20.254227,Bull World Health Organ,2020,98,8,539,547,FALSE,NA,Yes,No,NA,NA,Yes,Yes,No,NA,0,Cappelle 2020
4ff855b12235f5b62a78830b8aca7a5e,2848,Nipah virus,Reshmi,Ramachandran,Sero‑prevalence of Nipah antibodies among close  contacts of the index case during 2019 Ernakulam  outbreak,10.4103/jfmpc.jfmpc_1731_21,J Family Med Prim Care,2022,11,6,2479,2482,FALSE,NA,Yes,Yes,NA,NA,Yes,No,No,wekaness/bias/issues in the data are not discussed for 6+7,0,Ramachandran 2022
2a175a771095a15e6aa4cb501224263e,2850,Nipah virus,Aingorn,Chaiyes,Mapping Risk of Nipah Virus Transmission from Bats to Humans  in Thailand,10.1007/s10393-022-01588-6,Ecohealth,2022,19,2,175,189,FALSE,NA,No,No,Yes,Yes,Yes,Yes,No,NA,0,Chaiyes 2022
c10b08c437a9280f1a40f091b9d3c9c4,2886,Nipah virus,Govindakarnavar,Arunkumar,"Outbreak Investigation of Nipah Virus Disease in Kerala,  India, 2018",10.1093/infdis/jiy612,J Infect Dis,2019,219,12,1867,1878,FALSE,Definition cases (suspected/probable/confirmed) available in the methods,Yes,Yes,Yes,Yes,Yes,Yes,NA,Bias discussed was recall bias and wekanesses could not have been addressed - so NA for Q7,0,Arunkumar 2019
b298ad00b28ef8e7969cc0ef90b0ab97,2906,Nipah virus,Saumen,Barua,Global dynamics of a compartmental model to assess the effect of transmission from deceased,10.1016/j.mbs.2023.109059,Math Biosci,2023,364,NA,109059,NA,FALSE,NA,No,No,No,No,NA,NA,NA,"a global model for ebola/nipah and covid19,",0,Barua 2023
d370b6c37dcba60a0691fac9cfdc1ffe,2916,Nipah virus,Ali,Raza,Breakdown of a Nonlinear Stochastic Nipah Virus Epidemic Models through Efficient Numerical Methods,10.3390/e23121588,Entropy (Basel),2021,23,12,NA,NA,FALSE,NA,No,No,No,No,NA,NA,NA,"Mentions stochasticity, but might not be -  claims 'The most infected regions include Cambodia, Ghana, Indonesia, Madagascar, the Philippines, and Thailand.'",0,Raza 2021
